PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
2563.00,OO,SkyWest Airlines Inc.,ABQ,PHX,631,1
2563.00,UA,United Air Lines Inc.,SRQ,DEN,698,1
2564.00,9E,Endeavor Air Inc.,ROC,LGA,638,1
2564.00,WN,Southwest Airlines Co.,HOU,BUR,612,1
2564.00,WN,Southwest Airlines Co.,PHX,CMH,612,1
2564.00,YX,Republic Airline,DCA,CLE,673,1
2565.00,AS,Alaska Airlines Inc.,SEA,SMF,888,1
2565.00,C5,CommuteAir LLC dba CommuteAir,IAH,SHV,675,1
2565.00,MQ,Envoy Air,ORD,RDU,673,1
2565.00,NK,Spirit Air Lines,EWR,ATL,694,1
2565.00,OH,PSA Airlines Inc.,DCA,BUF,631,1
2565.00,WN,Southwest Airlines Co.,BNA,CMH,612,1
2566.00,9E,Endeavor Air Inc.,ATL,VLD,629,1
2566.00,AA,American Airlines Inc.,DFW,IND,698,1
2566.00,AA,American Airlines Inc.,MEM,DFW,694,1
2567.00,AA,American Airlines Inc.,IND,LAX,614,1
2568.00,G4,Allegiant Air,PIA,PGD,694,1
2568.00,UA,United Air Lines Inc.,EWR,MSY,612,1
2568.00,WN,Southwest Airlines Co.,ABQ,HOU,612,1
2568.00,WN,Southwest Airlines Co.,DAL,VPS,612,1
2568.00,WN,Southwest Airlines Co.,LAS,DSM,612,1
2569.00,AA,American Airlines Inc.,AUS,DFW,694,1
2569.00,AA,American Airlines Inc.,DFW,RDU,698,1
2571.00,YX,Republic Airline,DCA,CMH,673,1
2572.00,UA,United Air Lines Inc.,IAD,SFO,888,1
2572.00,WN,Southwest Airlines Co.,OKC,HOU,612,1
2573.00,AA,American Airlines Inc.,BNA,ORD,694,1
2574.00,OO,SkyWest Airlines Inc.,SFO,PSP,629,1
2574.00,SY,Sun Country Airlines d/b/a MN Airlines,MSP,SAN,614,1
2574.00,WN,Southwest Airlines Co.,DTW,MDW,612,1
2575.00,B6,JetBlue Airways,BUR,JFK,721,1
2575.00,OO,SkyWest Airlines Inc.,LAX,RNO,629,1
2575.00,QX,Horizon Air,ALW,SEA,482,1
2576.00,OH,PSA Airlines Inc.,CLT,BTR,638,1
2577.00,AA,American Airlines Inc.,CLT,MSY,614,1
2577.00,OH,PSA Airlines Inc.,CLT,GNV,631,1
2577.00,UA,United Air Lines Inc.,ORD,SAN,888,1
2578.00,WN,Southwest Airlines Co.,JAX,DEN,614,1
2578.00,WN,Southwest Airlines Co.,STL,MKE,612,1
2579.00,9E,Endeavor Air Inc.,SHV,ATL,629,1
2579.00,OO,SkyWest Airlines Inc.,PHX,ABQ,631,1
2579.00,WN,Southwest Airlines Co.,OGG,SMF,614,1
2580.00,MQ,Envoy Air,AUS,ORD,673,1
2580.00,YX,Republic Airline,CLE,LGA,673,1
2582.00,DL,Delta Air Lines Inc.,LAS,SLC,614,1
2582.00,F9,Frontier Airlines Inc.,IAH,DEN,699,1
2582.00,YV,Mesa Airlines Inc.,CHS,IAH,673,1
2583.00,AA,American Airlines Inc.,DFW,BWI,699,1
2584.00,DL,Delta Air Lines Inc.,CLT,SLC,614,1
2584.00,MQ,Envoy Air,SDF,MIA,673,1
2584.00,OO,SkyWest Airlines Inc.,BFL,PHX,631,1
2584.00,UA,United Air Lines Inc.,ABQ,DEN,694,1
2585.00,WN,Southwest Airlines Co.,KOA,PHX,614,1
2586.00,OH,PSA Airlines Inc.,CLT,OAJ,631,1
2586.00,OO,SkyWest Airlines Inc.,LAX,TUS,631,1
2586.00,UA,United Air Lines Inc.,LAX,KOA,839,1
2586.00,WN,Southwest Airlines Co.,AUS,HOU,614,1
2587.00,9E,Endeavor Air Inc.,ATL,MLU,629,1
2587.00,AS,Alaska Airlines Inc.,ATL,SEA,614,1
2587.00,UA,United Air Lines Inc.,ORD,MIA,839,1
2587.00,WN,Southwest Airlines Co.,AUS,SAN,614,1
2588.00,NK,Spirit Air Lines,CMH,RSW,698,1
2588.00,WN,Southwest Airlines Co.,CMH,PHX,614,1
2588.00,WN,Southwest Airlines Co.,PBI,ISP,612,1
2589.00,WN,Southwest Airlines Co.,DEN,MCI,614,1
2590.00,AA,American Airlines Inc.,TUS,PHX,694,1
2590.00,OO,SkyWest Airlines Inc.,SLC,HLN,673,1
2590.00,YV,Mesa Airlines Inc.,EUG,PHX,638,1
2592.00,SY,Sun Country Airlines d/b/a MN Airlines,MSP,SRQ,614,1
2593.00,AA,American Airlines Inc.,SLC,DFW,698,1
2593.00,B6,JetBlue Airways,SAT,JFK,694,1
2593.00,WN,Southwest Airlines Co.,SJC,AUS,612,1
2594.00,AS,Alaska Airlines Inc.,LAX,SEA,614,1
2594.00,QX,Horizon Air,PDX,OAK,673,1
2595.00,7H,"Northern Pacific Airways, Inc. Dba  Ravn Alaska",ANC,ENA,483,1
2595.00,9E,Endeavor Air Inc.,LGA,MKE,638,1
2595.00,F9,Frontier Airlines Inc.,TPA,BUF,722,1
